station,lat,lon
S-2,24.25522222,121.1728333
S-4,24.25888889,121.17825
S-6,24.26330556,121.1820833
S-8,24.26580556,121.1878056
S-10,24.26527777,121.1925833
S-12,24.26536111,121.1968333
S-14,24.26438888,121.2035833
S-16,24.26230555,121.2062778
S-18,24.26019444,121.2093611
S-20,24.26163889,121.2117222
S-22,24.26302778,121.2214722
S-24,24.26297222,121.2259167
S-26,24.26602778,121.2280833
S-28,24.26866666,121.2285833
